iso3,country,hdicode,region,gdi_2010,gdi_2019,
URY,Uruguay,Very High,LAC,1.014,1.02,
USA,United States,Very High,,0.988,0.994,
UZB,Uzbekistan,High,ECA,0.942,0.945,
VCT,Saint Vincent and the Grenadines,High,LAC,,0.972,
VEN,Venezuela (Bolivarian Republic of),Medium,LAC,1.028,0.988,
VNM,Viet Nam,High,EAP,0.992,1.004,
VUT,Vanuatu,Medium,EAP,,,
WSM,Samoa,High,EAP,0.953,0.959,
YEM,Yemen,Low,AS,0.674,0.508,
ZAF,South Africa,High,SSA,0.961,0.954,
ZMB,Zambia,Medium,SSA,0.913,0.966,
ZWE,Zimbabwe,Medium,SSA,0.926,0.955,
ZZA.VHHD,Very high human development,,,0.978,0.983,
ZZB.HHD,High human development,,,0.949,0.972,
ZZC.MHD,Medium human development,,,0.848,0.883,
ZZD.LHD,Low human development,,,0.818,0.853,
ZZE.AS,Arab States,,,0.841,0.875,
ZZF.EAP,East Asia and the Pacific,,,0.95,0.978,
ZZG.ECA,Europe and Central Asia,,,0.95,0.961,
ZZH.LAC,Latin America and the Caribbean,,,0.976,0.982,
ZZI.SA,South Asia,,,0.811,0.855,
ZZJ.SSA,Sub-Saharan Africa,,,0.884,0.903,
ZZK.WORLD,World,,,0.938,0.956,
